MVNO,MVNAME,MVPARTY,MVCITY,MV_ILK_KANUN,MV_KANUN,MV_ILK_MAO,MV_MAO,MV_ILK_GGO,MV_GGO,MV_ILK_GO,MV_GO,MV_SSO,MV_YSO
6957,Murat BOZLAK,BDP,ADANA,0,0,1,140,0,0,0,0,0,4
6026,Ömer ÇELİK,AK Parti,ADANA,0,1,0,0,0,0,0,0,0,0
5540,Mehmet Necati ÇETİNKAYA,AK Parti,ADANA,0,1,0,0,0,0,0,0,0,0
6758,Ali DEMİRÇALI,CHP,ADANA,3,12,0,130,0,0,0,3,2,25
6859,Turgay DEVELİ,CHP,ADANA,1,6,1,45,0,0,0,1,0,3
6852,Mehmet Şükrü ERDİNÇ,AK Parti,ADANA,1,6,0,2,0,0,0,0,0,0
6585,Fatoş GÜRKAN,AK Parti,ADANA,1,3,1,5,0,0,0,0,0,0
5857,Ali HALAMAN,MHP,ADANA,6,12,18,134,0,0,0,0,193,306
6349,Ali KÜÇÜKAYDIN,AK Parti,ADANA,0,1,0,3,0,0,0,0,0,0
6782,Osman Faruk LOĞOĞLU,CHP,ADANA,0,10,2,11,1,1,0,1,0,13
6931,Ümit ÖZGÜMÜŞ,CHP,ADANA,1,7,3,47,0,0,0,3,0,14
6508,Necdet ÜNÜVAR,AK Parti,ADANA,0,1,1,2,0,0,0,0,0,0
6439,Muharrem VARLI,MHP,ADANA,2,7,6,129,0,0,0,0,4,32
6905,Seyfettin YILMAZ,MHP,ADANA,4,10,3,199,0,0,0,0,0,46
6608,Ahmet AYDIN,AK Parti,ADIYAMAN,4,5,0,1,0,1,0,0,0,0
6565,Mehmet ERDOĞAN,AK Parti,ADIYAMAN,0,1,0,1,0,0,0,0,0,0
6760,Salih FIRAT,CHP,ADIYAMAN,0,15,2,175,0,1,0,2,0,28
6660,Mehmet METİNER,AK Parti,ADIYAMAN,0,1,0,0,0,0,0,0,0,0
6793,Muhammed Murtaza YETİŞ,AK Parti,ADIYAMAN,0,2,0,5,0,0,0,0,0,0
5336,Sait AÇBA,AK Parti,AFYONKARAHİSAR,0,0,1,1,0,0,0,0,0,0
6545,Veysel EROĞLU,AK Parti,AFYONKARAHİSAR,0,1,0,0,0,0,0,0,0,0
6712,Ahmet TOPTAŞ,CHP,AFYONKARAHİSAR,12,23,0,50,0,0,0,2,0,28
6898,Halil ÜRÜN,AK Parti,AFYONKARAHİSAR,0,1,0,1,0,0,0,0,0,0
6828,Kemalettin YILMAZ,MHP,AFYONKARAHİSAR,1,4,4,179,0,0,0,0,0,31
6954,Halil AKSOY,BDP,AĞRI,6,6,7,141,0,0,0,0,4,44
6665,Ekrem ÇELEBİ,AK Parti,AĞRI,1,6,0,3,0,0,0,0,0,0
6575,Fatma SALMAN KOTAN,AK Parti,AĞRI,0,1,0,8,0,0,0,0,0,0
6090,Mehmet Kerim YILDIZ,AK Parti,AĞRI,0,1,0,2,0,0,0,0,0,0
5981,Ruhi AÇIKGÖZ,AK Parti,AKSARAY,0,1,0,1,0,0,0,0,0,0
5988,Ali Rıza ALABOYUN,AK Parti,AKSARAY,0,0,0,12,0,0,0,0,0,0
6566,İlknur İNCEÖZ,AK Parti,AKSARAY,0,2,0,3,0,0,0,0,0,0
6667,Mehmet Naci BOSTANCI,AK Parti,AMASYA,0,1,0,2,0,0,0,0,0,0
6386,Avni ERDEMİR,AK Parti,AMASYA,2,3,0,11,0,0,0,0,0,0
6880,Ramis TOPAL,CHP,AMASYA,0,11,0,50,0,1,0,2,0,18
6689,Yalçın AKDOĞAN,AK Parti,ANKARA,0,1,0,0,0,1,0,0,0,0
6814,Süleyman Sencer AYATA,CHP,ANKARA,0,1,0,3,0,0,0,2,0,0
6720,Sinan Aydın AYGÜN,CHP,ANKARA,8,13,1,67,0,0,0,1,0,40
6063,Ali BABACAN,AK Parti,ANKARA,0,0,0,0,0,0,0,0,0,0
5948,Ayşe Gülsün BİLGEHAN,CHP,ANKARA,0,16,0,17,0,0,0,1,0,19
6148,İzzet ÇETİN,CHP,ANKARA,5,14,3,42,0,0,0,2,0,50
4445,Cemil ÇİÇEK,AK Parti,ANKARA,1,1,0,0,0,0,0,0,0,0
6095,Reha DENEMEÇ,AK Parti,ANKARA,0,1,0,0,0,0,0,0,0,0
6702,Mustafa ERDEM,MHP,ANKARA,0,1,0,40,0,0,0,0,2,21
6302,Cevdet ERDÖL,AK Parti,ANKARA,4,6,2,2,0,0,0,0,0,0
6199,Bülent GEDİKLİ,AK Parti,ANKARA,0,1,0,0,0,0,0,0,0,0
6692,Levent GÖK,CHP,ANKARA,2,15,4,45,0,0,1,2,0,100
6721,Gökhan GÜNAYDIN,CHP,ANKARA,0,0,0,8,0,0,0,1,0,15
6703,Ülker GÜZEL,AK Parti,ANKARA,0,2,0,0,0,0,0,0,0,0
5644,Mehmet Emrehan HALICI,CHP,ANKARA,0,1,0,3,0,0,0,1,0,1
5930,Haluk İPEK,AK Parti,ANKARA,0,1,0,0,0,0,0,0,0,0
6704,Emrullah İŞLER,AK Parti,ANKARA,0,4,0,8,0,0,0,0,0,0
5347,Ahmet İYİMAYA,AK Parti,ANKARA,0,1,0,0,0,0,0,0,0,0
4634,Salih KAPUSUZ,AK Parti,ANKARA,3,4,0,1,0,0,0,0,0,0
6801,Zelkif KAZDAL,AK Parti,ANKARA,0,1,0,0,0,0,0,0,0,0
6717,Bülent KUŞOĞLU,CHP,ANKARA,1,7,0,31,0,1,0,3,0,24
6690,Aylin NAZLIAKA,CHP,ANKARA,11,30,10,166,0,0,0,1,9,115
6525,Nazmi Haluk ÖZDALGA,AK Parti,ANKARA,0,1,0,0,0,0,0,0,0,0
6701,Tülay SELAMOĞLU,AK Parti,ANKARA,0,2,1,16,0,0,0,0,0,0
6697,Seyit SERTÇELİK,AK Parti,ANKARA,0,1,0,1,0,0,0,0,0,0
6810,Fatih ŞAHİN,AK Parti,ANKARA,0,1,0,2,0,0,0,0,0,0
6696,Nurdan ŞANLI,AK Parti,ANKARA,0,2,0,2,0,1,0,0,5,0
6700,Emine Ülker TARHAN,CHP,ANKARA,14,15,1,9,0,3,1,3,0,11
6727,Zühal TOPCU,MHP,ANKARA,0,4,0,96,0,0,0,0,37,89
6375,Yıldırım Tuğrul TÜRKEŞ,MHP,ANKARA,0,1,0,28,0,0,0,0,0,0
6699,Özcan YENİÇERİ,MHP,ANKARA,14,16,6,134,0,0,0,0,3,146
6688,Gürkut ACAR,CHP,ANTALYA,10,29,6,225,0,1,0,3,23,172
6552,Sadık BADAK,AK Parti,ANTALYA,1,2,1,2,0,0,0,0,0,0
3377,Deniz BAYKAL,CHP,ANTALYA,0,0,0,0,0,0,0,1,0,0
6678,Arif BULUT,CHP,ANTALYA,1,11,1,82,0,0,0,3,7,17
